pressSN,endTime,time,plcTime,machineState,pressState,date
70001002,,06:37:16,2023-03-23T06:39:38.252-04:00,POWER_DISABLE,Off,23/03/2023
70001002,,06:37:38,2023-03-23T06:40:01.676-04:00,OFF,Off,23/03/2023
70001002,,06:37:41,2023-03-23T06:40:04.835-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,06:37:41,2023-03-23T06:40:04.891-04:00,SERVICE,Service,23/03/2023
70001002,,07:16:22,2023-03-23T07:18:45.789-04:00,OFF,Off,23/03/2023
70001002,,07:17:19,2023-03-23T07:19:43.445-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:19:37,2023-03-23T07:22:00.534-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,07:19:55,2023-03-23T07:22:18.406-04:00,OFF,Off,23/03/2023
70001002,,07:20:22,2023-03-23T07:22:45.39-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:22:29,2023-03-23T07:24:53.287-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,07:22:47,2023-03-23T07:25:11.159-04:00,OFF,Off,23/03/2023
70001002,,07:31:04,2023-03-23T07:33:27.993-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,07:31:04,2023-03-23T07:33:28.097-04:00,SERVICE,Service,23/03/2023
70001002,,07:31:36,2023-03-23T07:33:59.592-04:00,OFF,Off,23/03/2023
70001002,,07:31:39,2023-03-23T07:34:02.809-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:32:27,2023-03-23T07:34:51.489-04:00,STANDBY,Standby,23/03/2023
70001002,,07:32:47,2023-03-23T07:35:11.089-04:00,GET_READY,GetReady,23/03/2023
70001002,,07:36:14,2023-03-23T07:38:38.346-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,07:36:31,2023-03-23T07:38:55.346-04:00,OFF,Off,23/03/2023
70001002,,07:36:39,2023-03-23T07:39:03.314-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:37:31,2023-03-23T07:39:54.562-04:00,STANDBY,Standby,23/03/2023
70001002,,07:38:37,2023-03-23T07:41:01.37-04:00,GET_READY,GetReady,23/03/2023
70001002,,07:39:25,2023-03-23T07:41:48.49-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,07:39:42,2023-03-23T07:42:05.954-04:00,OFF,Off,23/03/2023
70001002,,07:39:50,2023-03-23T07:42:14.154-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,07:39:50,2023-03-23T07:42:14.298-04:00,SERVICE,Service,23/03/2023
70001002,,07:41:23,2023-03-23T07:43:46.795-04:00,OFF,Off,23/03/2023
70001002,,07:41:29,2023-03-23T07:43:53.027-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:42:21,2023-03-23T07:44:45.123-04:00,STANDBY,Standby,23/03/2023
70001002,,07:42:28,2023-03-23T07:44:52.203-04:00,GET_READY,GetReady,23/03/2023
70001002,,07:43:15,2023-03-23T07:45:39.147-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,07:43:33,2023-03-23T07:45:56.644-04:00,OFF,Off,23/03/2023
70001002,,07:51:07,2023-03-23T07:53:31.181-04:00,MECH_INIT,Off,23/03/2023
70001002,,07:52:00,2023-03-23T07:54:23.493-04:00,STANDBY,Standby,23/03/2023
70001002,,07:59:41,2023-03-23T08:02:04.695-04:00,GET_READY,GetReady,23/03/2023
70001002,,08:00:28,2023-03-23T08:02:51.599-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,08:00:45,2023-03-23T08:03:09.047-04:00,OFF,Off,23/03/2023
70001002,,08:00:55,2023-03-23T08:03:19.239-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,08:00:55,2023-03-23T08:03:19.303-04:00,SERVICE,Service,23/03/2023
70001002,,08:03:15,2023-03-23T08:05:38.599-04:00,OFF,Off,23/03/2023
70001002,,08:03:21,2023-03-23T08:05:45.056-04:00,MECH_INIT,Off,23/03/2023
70001002,,08:04:13,2023-03-23T08:06:37.336-04:00,STANDBY,Standby,23/03/2023
70001002,,08:04:44,2023-03-23T08:07:07.64-04:00,GET_READY,GetReady,23/03/2023
70001002,,08:16:12,2023-03-23T08:18:35.73-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:16:53,2023-03-23T08:19:16.515-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:17:37,2023-03-23T08:20:00.595-04:00,PRINT,Print,23/03/2023
70001002,,08:18:18,2023-03-23T08:20:41.803-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:18:47,2023-03-23T08:21:10.899-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:19:51,2023-03-23T08:22:14.979-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:21:10,2023-03-23T08:23:34.171-04:00,PRINT,Print,23/03/2023
70001002,,08:24:58,2023-03-23T08:27:21.508-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:25:14,2023-03-23T08:27:38.132-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:25:32,2023-03-23T08:27:55.756-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:25:32,2023-03-23T08:27:56.389-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,08:25:58,2023-03-23T08:28:22.269-04:00,OFF,Off,23/03/2023
70001002,,08:26:05,2023-03-23T08:28:29.46-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,08:26:06,2023-03-23T08:28:29.508-04:00,SERVICE,Service,23/03/2023
70001002,,08:27:52,2023-03-23T08:30:16.309-04:00,OFF,Off,23/03/2023
70001002,,08:28:01,2023-03-23T08:30:25.156-04:00,MECH_INIT,Off,23/03/2023
70001002,,08:28:50,2023-03-23T08:31:13.757-04:00,STANDBY,Standby,23/03/2023
70001002,,08:29:38,2023-03-23T08:32:02.261-04:00,GET_READY,GetReady,23/03/2023
70001002,,08:33:01,2023-03-23T08:35:24.533-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:33:20,2023-03-23T08:35:43.605-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:34:38,2023-03-23T08:37:01.566-04:00,PRINT,Print,23/03/2023
70001002,,08:37:39,2023-03-23T08:40:03.311-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:38:05,2023-03-23T08:40:28.391-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:38:44,2023-03-23T08:41:08.399-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:39:29,2023-03-23T08:41:52.975-04:00,PRINT,Print,23/03/2023
70001002,,08:44:12,2023-03-23T08:46:36.208-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:44:29,2023-03-23T08:46:52.824-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:44:44,2023-03-23T08:47:07.424-04:00,PRE_PRINT,Print,23/03/2023
70001002,,08:45:38,2023-03-23T08:48:01.616-04:00,PRINT,Print,23/03/2023
70001002,,08:45:56,2023-03-23T08:48:20.111-04:00,POST_PRINT,Print,23/03/2023
70001002,,08:46:13,2023-03-23T08:48:36.712-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,08:56:42,2023-03-23T08:59:05.665-04:00,READY,Ready,23/03/2023
70001002,,09:03:10,2023-03-23T09:05:34.01-04:00,PRE_PRINT,Print,23/03/2023
70001002,,09:04:38,2023-03-23T09:07:01.61-04:00,PRINT,Print,23/03/2023
70001002,,09:05:31,2023-03-23T09:07:55.41-04:00,POST_PRINT,Print,23/03/2023
70001002,,09:05:49,2023-03-23T09:08:12.699-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,09:06:17,2023-03-23T09:08:40.946-04:00,READY,Ready,23/03/2023
70001002,,09:54:20,2023-03-23T09:56:44.145-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,09:54:26,2023-03-23T09:56:50.337-04:00,STANDBY,Standby,23/03/2023
70001002,,09:54:58,2023-03-23T09:57:22.194-04:00,GET_READY,GetReady,23/03/2023
70001002,,10:00:39,2023-03-23T10:03:03.243-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:02:05,2023-03-23T10:04:29.371-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,10:02:12,2023-03-23T10:04:35.571-04:00,STANDBY,Standby,23/03/2023
70001002,,10:05:11,2023-03-23T10:07:34.371-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,10:05:20,2023-03-23T10:07:43.803-04:00,OFF,Off,23/03/2023
70001002,,10:05:34,2023-03-23T10:07:57.716-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,10:05:34,2023-03-23T10:07:57.82-04:00,SERVICE,Service,23/03/2023
70001002,,10:06:50,2023-03-23T10:09:13.82-04:00,OFF,Off,23/03/2023
70001002,,10:06:58,2023-03-23T10:09:21.892-04:00,MECH_INIT,Off,23/03/2023
70001002,,10:07:47,2023-03-23T10:10:10.556-04:00,STANDBY,Standby,23/03/2023
70001002,,10:07:53,2023-03-23T10:10:17.116-04:00,GET_READY,GetReady,23/03/2023
70001002,,10:11:10,2023-03-23T10:13:33.948-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:16:21,2023-03-23T10:18:44.573-04:00,PRE_PRINT,Print,23/03/2023
70001002,,10:17:38,2023-03-23T10:20:01.886-04:00,PRINT,Print,23/03/2023
70001002,,10:17:53,2023-03-23T10:20:17.326-04:00,POST_PRINT,Print,23/03/2023
70001002,,10:18:23,2023-03-23T10:20:46.438-04:00,DYNAMIC_READY,Ready,23/03/2023
70001002,,10:28:51,2023-03-23T10:31:15.279-04:00,READY,Ready,23/03/2023
70001002,,11:17:56,2023-03-23T11:20:19.686-04:00,GO_TO_STANDBY,Standby,23/03/2023
70001002,,11:18:02,2023-03-23T11:20:25.886-04:00,STANDBY,Standby,23/03/2023
70001002,,12:23:58,2023-03-23T12:26:21.34-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,12:24:07,2023-03-23T12:26:30.771-04:00,OFF,Off,23/03/2023
70001002,,13:07:17,2023-03-23T13:09:40.692-04:00,MECH_INIT,Off,23/03/2023
70001002,,13:08:05,2023-03-23T13:10:29.165-04:00,STANDBY,Standby,23/03/2023
70001002,,14:30:29,2023-03-23T14:32:53.176-04:00,GO_TO_OFF,Off,23/03/2023
70001002,,14:30:39,2023-03-23T14:33:02.608-04:00,OFF,Off,23/03/2023
70001002,,14:43:38,2023-03-23T14:46:02.115-04:00,GO_TO_SERVICE,Service,23/03/2023
70001002,,14:43:38,2023-03-23T14:46:02.179-04:00,SERVICE,Service,23/03/2023
